,Item,ValorUnitarioAprovado,Data,idPRONAC
1656482,Remuneração para captação de recursos,29220.0,2015-10-28 00:00:00,193045
1051740,Contador de histórias,35.0,2017-12-07 15:37:11,215777
2533705,Advogado,75.0,2017-09-04 15:48:08,209819
518163,Cartaz,3.5,2011-01-03 00:00:00,125949
583154,Mailing-list,0.0,2011-03-07 00:00:00,131939
615290,Assistentes,146.59,2010-12-01 00:00:00,128789
2097896,Transporte Local / Locação de Automóvel / Combustível,800.0,2015-03-21 09:16:15,188777
2551680,Locação de teatro,3000.0,2018-04-16 18:17:12,215486
2410360,Impressão do catálogo,17.0,2016-06-03 14:30:38,203174
54777,Material de execução dos figurinos,4500.0,2010-11-27 00:00:00,128954
456804,Auxiliar Administrativo,2000.0,2011-03-01 00:00:00,125657
1531107,Hospedagem sem Alimentação,250.0,2015-07-17 00:00:00,190969
172098,Fita isolante  de 20 metros,1300.0,2015-10-22 17:13:57,194236
2044020,Direção Artística,8500.0,2014-11-17 00:00:00,184597
1125863,"Sítio de internet
",3000.0,2012-06-01 00:00:00,149883
1276853,Material de Limpeza,150.0,2013-01-01 00:00:00,155801
2278199,Produtor Executivo,5000.0,2016-04-06 08:34:48,199680
1604621,Sítio de Internet - Hospedagem,50.0,2015-01-10 00:00:00,161272
188474,Direitos Autorais,0.0,2017-08-03 14:18:47,208764
1934029,Apresentador /locutor,0.0,2017-11-30 13:50:37,215728
612093,Refeição,12.0,2011-03-17 00:00:00,130560
2023540,Contador,400.0,2015-07-01 17:32:00,186316
1915005,Produção de Texto,1750.0,2017-10-16 16:52:07,214428
1807505,"Banner/faixa adesiva/faixa de lona/saia de palco/testeira/pórtico
",150.0,2014-01-07 10:09:08,170043
1267186,Operador de Multimídia,800.0,2013-02-04 00:00:00,154580
89558,Mídia impressa,0.0,2009-08-20 00:00:00,113194
29457,Embalagem para remessa,2000.0,2009-07-01 00:00:00,111309
1551305,Diretor geral,40000.0,2017-07-10 10:54:44,209100
947622,Outdoors,1000.0,2012-01-01 00:00:00,142544
386866,Locação de equipamentos,0.0,2010-05-15 00:00:00,121560
108973,Produção de Imagem (audiovisual),3000.0,2009-10-16 00:00:00,115336
